Book Name,Author,Rating,Customers_Rated,Price
Ikigai: The Japanese secret to a long and happy life,Héctor García,4.6 out of 5 stars,"7,472",₹317.00
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars,"11,850",₹425.00
The Alchemist,Paulo Coelho,4.6 out of 5 stars,"40,719",₹189.00
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Dale Carnegie,4.5 out of 5 stars,"2,130",₹319.00
Think Like a Monk: The secret of how to harness the power of positivity and be happy now,Jay Shetty,4.7 out of 5 stars,"6,506",₹285.00
Indian Polity - For Civil Services and Other State Examinations | 6th Edition,M. Laxmikanth,4.6 out of 5 stars,"4,493",₹539.00
One Arranged Murder,Chetan Bhagat,4.2 out of 5 stars,"4,113",₹124.00
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.4 out of 5 stars,"7,220",₹412.00
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.5 out of 5 stars,"5,386",₹151.00
General Knowledge 2021,Manohar Pandey,4.3 out of 5 stars,"1,626",₹30.00
Atomic Habits: The life-changing million copy bestseller,James Clear,4.6 out of 5 stars,"10,327",₹479.00
General Knowledge,Dr. Binay Karna,4.4 out of 5 stars,"7,437",₹186.00
The Psychology of Money,Morgan Housel,4.5 out of 5 stars,"3,522",₹367.00
Mathematics | SSC CGL MAINS | 24 Sets | Gagan Pratap Sir | Bilingual),Gagan Pratap Sir,3.9 out of 5 stars,67,₹200.00
Word Power Made Easy,Norman Lewis,4.4 out of 5 stars,"15,199",₹151.00
26 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2020) 11th Edition,Mrunal Patel,4.4 out of 5 stars,119,₹335.00
The Presidential Years: 2012-2017,Pranab Mukherjee,4.5 out of 5 stars,19,₹395.00
Grandma's Bag of Stories,Sudha Murty,4.6 out of 5 stars,"2,853",₹180.00
Manorama English Yearbook 2021,Mammen Mathew,4.6 out of 5 stars,19,₹295.00
Rich Dad Poor Dad : What The Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.6 out of 5 stars,"33,995",₹294.00
Objective General English,S.P. Bakshi,4.3 out of 5 stars,"4,838",₹185.00
The Theory of Everything,Stephen Hawking,4.6 out of 5 stars,"3,488",₹149.00
Great Stories for Children,Ruskin Bond,4.5 out of 5 stars,"2,432",₹127.00
"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write and Practice Capital Letters, Small Letters, Patterns and…",Wonder House Books,4.4 out of 5 stars,"1,166",₹199.00
My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing),Wonder House Books,4.5 out of 5 stars,"2,671",₹89.00
Eating in the Age of Dieting,Rujuta Diwekar,4.6 out of 5 stars,174,₹315.00
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.6 out of 5 stars,"25,590",₹391.00
Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology,MTG Editorial Board,4.7 out of 5 stars,285,₹562.00
Think and Grow Rich,Napoleon Hill,4.5 out of 5 stars,"34,818",₹158.00
A Brief History of Modern India (2019-2020 Edition) by Spectrum Books,Spectrum Books Pvt.Ltd.,4.5 out of 5 stars,"3,160",₹309.00
"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.4 out of 5 stars,"7,784",₹204.00
Oxford Student Atlas for India - Third Edition,Oxford University Press,4.6 out of 5 stars,"2,453",₹270.00
Very First Sight Words Sentences Level - 1,Dreamland Publications,4.6 out of 5 stars,"1,220",₹126.00
The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"22,977",₹113.00
"Love, Hope and Magic",Ashish Bagrecha,4.9 out of 5 stars,473,₹194.00
A Modern Approach to Verbal & Non-Verbal Reasoning (2 Colour Edition),R.S. Aggarwal,4.4 out of 5 stars,"3,053",₹468.00
The Richest Man in Babylon,George S. Clason,4.4 out of 5 stars,"14,390",₹96.00
General Knowledge 2021,Manohar Pandey,4.3 out of 5 stars,510,₹126.00
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6 out of 5 stars,"5,110",₹180.00
The Blue Umbrella,Ruskin Bond,4.5 out of 5 stars,"2,748",₹73.00
The Intelligent Investor (English) Paperback – 2013,Benjamin Graham,4.4 out of 5 stars,"15,701",₹656.00
The Power of your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"22,977",₹149.00
Dharma: Decoding the Epics for a Meaningful Life,Amish,4.1 out of 5 stars,57,₹355.00
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.4 out of 5 stars,"35,905",₹295.00
101 Panchatantra Stories,Dreamland Publications,4.3 out of 5 stars,"2,464",₹130.00
Environment By Shankar (7th) Revised Edition (2019-2020 Session),Shankar,4.3 out of 5 stars,"3,106",₹385.00
Picture Books Collection for Early Learning (Set of 12),E C Axus,4.2 out of 5 stars,"3,443",₹235.00
Bhagavad Gita: Yatharoop (Hindi),A.C. Bhaktivendanta Swami Prabhupada,4.8 out of 5 stars,"4,045",₹179.00
The Monk Who Sold His Ferrari,Robin Sharma,4.6 out of 5 stars,"9,659",₹174.00
IB-ACIO: Grade-II/Executive (Tier-I) Recruitment Exam Guide: Grade-II/Executive (Tier-I) Exam Guide,RPH Editorial Board,3.8 out of 5 stars,60,₹323.00
Kiran SSC Mathematics Chapterwise And Typewise Solved Papers 10500+ Objective Questions (English Medium) (3035),Think Tank of Kiran Institute of,4.3 out of 5 stars,94,₹430.00
Rich Dad Poor Dad - 20th Anniversary Edition (Hindi),Robert T. Kiyosaki,4.6 out of 5 stars,"3,362",₹178.00
As a Man Thinketh,James Allen,4.5 out of 5 stars,"1,384",₹68.00
Who Will Cry When You Die?,Robin Sharma,4.5 out of 5 stars,"6,279",₹149.00
Wren & Martin High School English Grammar and Composition Book (Regular Edition),Rao N,4.4 out of 5 stars,"2,696",₹298.00
"Indian Economy for Civil Services, Universities and Other Examinations | 12th Revised Edition",Ramesh Singh,3.9 out of 5 stars,513,₹616.00
How to Win Friends and Influence People,Dale Carnegie,4.5 out of 5 stars,"33,102",₹160.00
Refreshing Mandala - Colouring Book for Adults Book 1,Dreamland Publications,4.6 out of 5 stars,"1,930",₹175.00
Lines and Curves (Pattern Writing) - Part 1,Dreamland Publications,4.4 out of 5 stars,"1,459",₹80.00
ReWork: Change the Way You Work Forever,David Heinemeier Hansson,4.3 out of 5 stars,"2,421",₹389.00
Oswaal CBSE Question Bank Class 10 Science (Reduced Syllabus) (For 2021 Exam),Oswaal Editorial Board,4.7 out of 5 stars,168,₹385.00
Elon Musk: How the Billionaire CEO of SpaceX and Tesla is Shaping our Future,Ashlee Vance,4.6 out of 5 stars,"6,197",₹438.00
Harry Potter and the Philosopher's Stone,J.K. Rowling,4.7 out of 5 stars,"20,031",₹253.00
Death; An Inside Story: A book for all those who shall die,Sadhguru,4.7 out of 5 stars,"2,836",₹218.00
Amazon Brand - Solimo Board Books for Kids (Set of 10),Solimo,4.5 out of 5 stars,"2,170",₹429.00
7 Divine Laws to Awaken Your Best Self,Swami Mukundananda,4.8 out of 5 stars,32,₹239.00
Colouring Book of Animals: Creative Crayons Series - Crayon Copy Colour Books,Wonder House Books,4.3 out of 5 stars,317,₹40.00
How to Crack Test Of Reasoning- REVISED EDITION,Jaikishan,4.3 out of 5 stars,758,₹169.00
Diary of a Wimpy Kid: The Deep End (Book 15),Jeff Kinney,4.7 out of 5 stars,"16,339",₹363.00
Current Affairs Yearly 2021,Arihant Experts,4.6 out of 5 stars,3,₹106.00
Indian Art and Culture for Civil Services and other Competitive Examinations,Nitin Singhania,4.6 out of 5 stars,"1,277",₹468.00
The Official Cambridge Guide To Ielts Student's Book With Answers With Dvd Rom,Pauline Cullen,4.3 out of 5 stars,"1,625",₹439.00
My First Learning Library: Boxset of 20 Board Books Gift Set for Kids (Horizontal Design),Wonder House Books,4.5 out of 5 stars,"2,359",₹799.00
Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth,Mahatma Gandhi,4.5 out of 5 stars,"1,707",₹105.00
RS Agarwal - Quantitative Aptitude + Logical Reasoning,0,4.5 out of 5 stars,366,₹668.00
Bhagavad Gita Original in English - Bhagavad Gita as It is Original in English,A. C. Bhaktivedanta Swami Prabhupad,4.8 out of 5 stars,525,₹199.00
LUCENT'S GENERAL KNOWLEDGE WITH GENERAL KNOWLEDGE 2021 EDITION,LUCENT ARIHANT EXPERTS,3.8 out of 5 stars,76,₹145.00
"Zero to One: Notes on Start Ups, or How to Build the Future",Peter Thiel,4.4 out of 5 stars,"6,854",₹339.00
NTA UGC NET/SET/JRF: Teaching & Research Aptitude Paper 1 | By Pearson,KVS Madaan,4.4 out of 5 stars,412,₹359.00
"Thinking, Fast and Slow (Penguin Press Non-Fiction)",Daniel Kahneman,4.4 out of 5 stars,"14,428",₹359.00
101 Panchatantra Stories for Children: Colourful Illustrated Stories,Om Books Editorial Team,4.6 out of 5 stars,99,₹125.00
Oswaal CBSE Sample Question Paper Class 10 Mathematics Standard Book (Reduced Syllabus for 2021 Exam),Oswaal Editorial Board,4.5 out of 5 stars,61,₹167.00
Fast Track Objective Arithmetic,Rajesh Verma,4.4 out of 5 stars,"2,318",₹335.00
Certificate Physical And Human Geography; Indian Edition,Goh Cheng Leong,4.5 out of 5 stars,"3,947",₹314.00
My Activity- ABC Colouring Book,Dreamland Publications,4.5 out of 5 stars,597,₹80.00
1001 Activities Book,Dreamland Publications,4.5 out of 5 stars,"2,509",₹280.00
Apke Avchetan Man Ki Shakti (The Power of your Subconscious Mind in Hindi),Joseph Murphy,4.4 out of 5 stars,"1,790",₹99.00
The Girl in Room 105,Chetan Bhagat,4.3 out of 5 stars,"7,876",₹158.00
Oswaal CBSE Question Bank Class 10 Mathematics (Standard) (Reduced Syllabus) (For 2021 Exam),Oswaal Editorial Board,4.7 out of 5 stars,163,₹340.00
Peppa Pig: Little Library,Peppa Pig,4.3 out of 5 stars,"10,521",₹189.00
"Children's Encyclopedia - Scientists, Inventions And Discoveries: The World of Knowledge",MANASVI VOHRA,4.3 out of 5 stars,745,₹166.00
How to Prepare for Quantitative Aptitude for the CAT,Arun Sharma,4.5 out of 5 stars,"1,577",₹629.00
"Three Thousand Stitches: Ordinary People, Extraordinary Lives",Sudha Murty,4.6 out of 5 stars,"2,165",₹187.00
Oswaal CBSE Question Bank Class 10 Social Science (Reduced Syllabus) (For 2021 Exam),Oswaal Editorial Board,4.7 out of 5 stars,166,₹335.00
A Promised Land,Barack Obama,4.8 out of 5 stars,"8,100","₹1,205.00"
Bhagvad gita as it is english new edition,His Divine Grace A.C. Bhaktivedanta,4.7 out of 5 stars,"3,073",₹260.00
The 12-Week Fitness Project,Rujuta Diwekar,4.4 out of 5 stars,"1,055",₹119.00
Pride & Prejudice,Jane Austen,4.5 out of 5 stars,"15,718",₹112.00
The Secret,Rhonda Byrne,4.5 out of 5 stars,"19,304",₹502.00
Unfinished: A Memoir,Priyanka Chopra Jonas,-1,0,₹531.00
